Date,Discharge,Dayl,Prcp,Srad,Tmax,Tmin,Vp,one_Discharge,two_Discharge,three_Discharge,four_Discharge,five_Discharge,one_Prcp,two_Prcp,three_Prcp,four_Prcp,five_Prcp
2000-01-06,279.0,33868.78,0.01,246.56,-0.18,-10.93,267.7,273.0,269.0,257.0,253.0,265.0,5.37,1.44,0.0,0.0,0.0
2000-01-07,260.0,33868.78,0.0,279.0,4.77,-8.41,323.4,279.0,273.0,269.0,257.0,253.0,0.01,5.37,1.44,0.0,0.0
2000-01-08,254.0,33952.3,0.0,273.63,3.71,-8.94,310.17,260.0,279.0,273.0,269.0,257.0,0.0,0.01,5.37,1.44,0.0
2000-01-09,249.0,34071.04,0.0,262.91,4.58,-7.09,357.83,254.0,260.0,279.0,273.0,269.0,0.0,0.0,0.01,5.37,1.44
2000-01-10,271.0,34169.88,4.79,165.46,7.24,-1.78,537.64,249.0,254.0,260.0,279.0,273.0,0.0,0.0,0.0,0.01,5.37
2000-01-11,369.0,34214.43,5.29,178.79,10.43,0.11,617.41,271.0,249.0,254.0,260.0,279.0,4.79,0.0,0.0,0.0,0.01
2000-01-12,423.0,34214.43,3.77,195.92,6.97,-3.83,460.53,369.0,271.0,249.0,254.0,260.0,5.29,4.79,0.0,0.0,0.0
2000-01-13,428.0,34259.55,3.93,225.08,9.86,-3.77,463.46,423.0,369.0,271.0,249.0,254.0,3.77,5.29,4.79,0.0,0.0
2000-01-14,456.0,34416.68,1.97,298.8,9.7,-12.31,239.52,428.0,423.0,369.0,271.0,249.0,3.93,3.77,5.29,4.79,0.0
2000-01-15,389.0,34537.02,0.0,269.85,-3.62,-14.84,194.84,456.0,428.0,423.0,369.0,271.0,1.97,3.93,3.77,5.29,4.79
2000-01-16,431.0,34560.0,0.0,334.31,7.82,-10.6,272.1,389.0,456.0,428.0,423.0,369.0,0.0,1.97,3.93,3.77,5.29
2000-01-17,419.0,34560.0,0.0,341.52,6.89,-12.37,238.25,431.0,389.0,456.0,428.0,423.0,0.0,0.0,1.97,3.93,3.77
2000-01-18,377.0,34722.63,0.77,185.81,-4.82,-12.05,244.82,419.0,431.0,389.0,456.0,428.0,0.0,0.0,0.0,1.97,3.93
2000-01-19,384.0,34882.6,1.68,157.52,-2.22,-8.63,317.01,377.0,419.0,431.0,389.0,456.0,0.77,0.0,0.0,0.0,1.97
2000-01-20,389.0,34905.57,7.76,108.77,-1.56,-6.67,372.27,384.0,377.0,419.0,431.0,389.0,1.68,0.77,0.0,0.0,0.0
2000-01-21,343.0,34916.9,5.73,214.09,-4.14,-14.46,200.09,389.0,384.0,377.0,419.0,431.0,7.76,1.68,0.77,0.0,0.0
2000-01-22,320.0,35107.84,1.21,197.72,-11.56,-18.72,139.62,343.0,389.0,384.0,377.0,419.0,5.73,7.76,1.68,0.77,0.0
2000-01-23,290.0,35251.19,1.23,283.3,-4.5,-15.44,186.39,320.0,343.0,389.0,384.0,377.0,1.21,5.73,7.76,1.68,0.77
2000-01-24,270.0,35251.19,0.0,208.43,-1.0,-8.32,322.71,290.0,320.0,343.0,389.0,384.0,1.23,1.21,5.73,7.76,1.68
2000-01-25,240.0,35373.33,0.0,256.63,-1.33,-10.64,269.9,270.0,290.0,320.0,343.0,389.0,0.0,1.23,1.21,5.73,7.76
2000-01-26,220.0,35573.82,0.06,205.48,-7.39,-14.4,200.8,240.0,270.0,290.0,320.0,343.0,0.0,0.0,1.23,1.21,5.73
2000-01-27,210.0,35596.79,0.36,241.52,-7.37,-15.92,179.65,220.0,240.0,270.0,290.0,320.0,0.06,0.0,0.0,1.23,1.21
2000-01-28,200.0,35641.91,0.0,280.19,-8.52,-18.56,145.0,210.0,220.0,240.0,270.0,290.0,0.36,0.06,0.0,0.0,1.23
2000-01-29,190.0,35897.88,0.0,365.78,-3.44,-19.69,130.46,200.0,210.0,220.0,240.0,270.0,0.0,0.36,0.06,0.0,0.0
