Date,Discharge,Dayl,Prcp,Srad,Tmax,Tmin,Vp,one_Discharge,two_Discharge,three_Discharge,four_Discharge,five_Discharge,one_Prcp,two_Prcp,three_Prcp,four_Prcp,five_Prcp
2000-01-06,28.0,33523.2,0.0,237.51,7.48,-5.5,400.0,30.0,22.0,21.0,21.0,22.0,13.58,17.55,0.0,0.0,0.0
2000-01-07,25.0,33718.14,0.0,243.71,10.6,-3.26,480.0,28.0,30.0,22.0,21.0,21.0,0.0,13.58,17.55,0.0,0.0
2000-01-08,23.0,33868.8,0.0,248.09,8.5,-5.5,400.0,25.0,28.0,30.0,22.0,21.0,0.0,0.0,13.58,17.55,0.0
2000-01-09,23.0,33868.8,0.57,203.79,8.87,-0.96,563.04,23.0,25.0,28.0,30.0,22.0,0.0,0.0,0.0,13.58,17.55
2000-01-10,26.0,33868.8,7.99,137.34,13.25,4.52,841.92,23.0,23.0,25.0,28.0,30.0,0.57,0.0,0.0,0.0,13.58
2000-01-11,30.0,33868.8,0.0,203.35,14.52,4.5,840.0,26.0,23.0,23.0,25.0,28.0,7.99,0.57,0.0,0.0,0.0
2000-01-12,24.0,33950.34,0.0,208.23,10.0,0.05,604.1,30.0,26.0,23.0,23.0,25.0,0.0,7.99,0.57,0.0,0.0
2000-01-13,23.0,34214.41,2.86,197.65,10.7,-3.0,480.0,24.0,30.0,26.0,23.0,23.0,0.0,0.0,7.99,0.57,0.0
2000-01-14,23.0,34214.41,0.0,206.26,1.01,-8.2,320.0,23.0,24.0,30.0,26.0,23.0,2.86,0.0,0.0,7.99,0.57
2000-01-15,22.0,34214.41,0.0,222.49,-0.02,-10.15,280.0,23.0,23.0,24.0,30.0,26.0,0.0,2.86,0.0,0.0,7.99
2000-01-16,22.0,34214.41,0.0,266.58,9.24,-5.55,400.0,22.0,23.0,23.0,24.0,30.0,0.0,0.0,2.86,0.0,0.0
2000-01-17,21.0,34560.01,0.0,287.49,6.92,-11.26,259.22,22.0,22.0,23.0,23.0,24.0,0.0,0.0,0.0,2.86,0.0
2000-01-18,20.0,34560.01,0.0,206.62,-5.38,-14.14,200.0,21.0,22.0,22.0,23.0,23.0,0.0,0.0,0.0,0.0,2.86
2000-01-19,20.0,34560.01,0.0,246.76,-0.78,-12.3,240.0,20.0,21.0,22.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0
2000-01-20,21.0,34560.01,4.08,157.46,1.0,-6.78,360.0,20.0,20.0,21.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
2000-01-21,20.0,34905.6,0.0,248.16,-1.5,-11.0,280.0,21.0,20.0,20.0,21.0,22.0,4.08,0.0,0.0,0.0,0.0
2000-01-22,20.0,34905.6,0.0,224.26,-5.0,-13.16,227.42,20.0,21.0,20.0,20.0,21.0,0.0,4.08,0.0,0.0,0.0
2000-01-23,19.0,34905.6,0.0,187.08,-2.5,-9.02,318.32,20.0,20.0,21.0,20.0,20.0,0.0,0.0,4.08,0.0,0.0
2000-01-24,20.0,35223.68,2.24,155.57,1.7,-4.0,440.0,19.0,20.0,20.0,21.0,20.0,0.0,0.0,0.0,4.08,0.0
2000-01-25,33.0,35251.2,12.29,127.32,2.5,-3.3,480.0,20.0,19.0,20.0,20.0,21.0,2.24,0.0,0.0,0.0,4.08
2000-01-26,22.0,35251.2,0.0,190.2,0.03,-6.47,362.08,33.0,20.0,19.0,20.0,20.0,12.29,2.24,0.0,0.0,0.0
2000-01-27,21.0,35446.14,0.0,210.87,-2.5,-9.71,280.0,22.0,33.0,20.0,19.0,20.0,0.0,12.29,2.24,0.0,0.0
2000-01-28,20.0,35596.8,0.0,263.67,-3.98,-13.47,202.73,21.0,22.0,33.0,20.0,19.0,0.0,0.0,12.29,2.24,0.0
2000-01-29,20.0,35596.8,0.0,332.43,0.47,-14.0,200.0,20.0,21.0,22.0,33.0,20.0,0.0,0.0,0.0,12.29,2.24
2000-01-30,21.0,35791.73,22.07,274.03,4.4,-14.35,200.0,20.0,20.0,21.0,22.0,33.0,0.0,0.0,0.0,0.0,12.29
2000-01-31,37.0,35942.4,20.11,215.64,5.94,-4.4,440.0,21.0,20.0,20.0,21.0,22.0,22.07,0.0,0.0,0.0,0.0
2000-02-01,34.0,35942.4,0.0,249.6,2.65,-5.5,400.0,37.0,21.0,20.0,20.0,21.0,20.11,22.07,0.0,0.0,0.0
2000-02-02,31.0,36137.34,0.0,233.26,1.0,-6.36,371.32,34.0,37.0,21.0,20.0,20.0,0.0,20.11,22.07,0.0,0.0
