Date,Discharge,Dayl,Prcp,Srad,Tmax,Tmin,Vp,one_Discharge,two_Discharge,three_Discharge,four_Discharge,five_Discharge,one_Prcp,two_Prcp,three_Prcp,four_Prcp,five_Prcp
2000-01-06,71.0,33868.81,0.0,231.71,-0.11,-9.7,289.36,76.0,73.0,74.0,74.0,76.0,4.35,1.13,0.0,0.0,0.0
2000-01-07,68.0,33868.81,0.0,266.29,4.42,-7.4,353.24,71.0,76.0,73.0,74.0,74.0,0.0,4.35,1.13,0.0,0.0
2000-01-08,65.0,34104.69,0.0,272.41,3.92,-8.31,320.89,68.0,71.0,76.0,73.0,74.0,0.0,0.0,4.35,1.13,0.0
2000-01-09,65.0,34214.41,0.0,253.29,4.45,-6.3,380.36,65.0,68.0,71.0,76.0,73.0,0.0,0.0,0.0,4.35,1.13
2000-01-10,75.0,34214.41,6.12,160.53,7.42,-1.24,558.75,65.0,65.0,68.0,71.0,76.0,0.0,0.0,0.0,0.0,4.35
2000-01-11,99.0,34214.41,5.32,182.88,10.09,-0.29,596.91,75.0,65.0,65.0,68.0,71.0,6.12,0.0,0.0,0.0,0.0
2000-01-12,96.0,34214.41,2.21,214.62,7.11,-3.65,464.0,99.0,75.0,65.0,65.0,68.0,5.32,6.12,0.0,0.0,0.0
2000-01-13,94.0,34352.34,2.81,241.11,10.04,-3.7,464.69,96.0,99.0,75.0,65.0,65.0,2.21,5.32,6.12,0.0,0.0
2000-01-14,91.0,34560.0,1.54,306.26,10.46,-12.42,236.31,94.0,96.0,99.0,75.0,65.0,2.81,2.21,5.32,6.12,0.0
2000-01-15,79.0,34560.0,0.0,274.08,-2.85,-14.13,205.9,91.0,94.0,96.0,99.0,75.0,1.54,2.81,2.21,5.32,6.12
2000-01-16,92.0,34560.0,0.0,332.8,8.18,-9.59,292.97,79.0,91.0,94.0,96.0,99.0,0.0,1.54,2.81,2.21,5.32
2000-01-17,84.0,34560.0,0.0,342.12,7.02,-12.02,242.99,92.0,79.0,91.0,94.0,96.0,0.0,0.0,1.54,2.81,2.21
2000-01-18,83.0,34905.6,1.65,181.32,-4.11,-11.57,254.69,84.0,92.0,79.0,91.0,94.0,0.0,0.0,0.0,1.54,2.81
2000-01-19,83.0,34905.6,0.29,180.13,-2.0,-8.52,318.89,83.0,84.0,92.0,79.0,91.0,1.65,0.0,0.0,0.0,1.54
2000-01-20,84.0,34905.6,8.31,128.35,-0.66,-6.65,372.29,83.0,83.0,84.0,92.0,79.0,0.29,1.65,0.0,0.0,0.0
2000-01-21,66.0,34944.5,3.08,236.59,-4.07,-14.48,199.0,84.0,83.0,83.0,84.0,92.0,8.31,0.29,1.65,0.0,0.0
2000-01-22,62.0,35251.19,1.68,193.05,-11.24,-18.09,159.99,66.0,84.0,83.0,83.0,84.0,3.08,8.31,0.29,1.65,0.0
2000-01-23,58.0,35251.19,1.23,275.78,-4.17,-14.41,200.0,62.0,66.0,84.0,83.0,83.0,1.68,3.08,8.31,0.29,1.65
2000-01-24,54.0,35251.19,0.0,228.61,-0.85,-8.86,310.8,58.0,62.0,66.0,84.0,83.0,1.23,1.68,3.08,8.31,0.29
2000-01-25,51.0,35560.91,0.0,268.42,-1.06,-10.74,271.44,54.0,58.0,62.0,66.0,84.0,0.0,1.23,1.68,3.08,8.31
2000-01-26,49.0,35596.82,0.0,229.37,-6.9,-14.67,196.17,51.0,54.0,58.0,62.0,66.0,0.0,0.0,1.23,1.68,3.08
2000-01-27,47.0,35596.82,0.0,261.04,-7.17,-16.21,172.99,49.0,51.0,54.0,58.0,62.0,0.0,0.0,0.0,1.23,1.68
2000-01-28,45.0,35734.75,0.0,285.78,-7.64,-17.77,158.45,47.0,49.0,51.0,54.0,58.0,0.0,0.0,0.0,0.0,1.23
2000-01-29,44.0,35942.4,0.0,360.86,-2.48,-17.94,157.14,45.0,47.0,49.0,51.0,54.0,0.0,0.0,0.0,0.0,0.0
2000-01-30,42.0,35942.4,8.31,265.41,0.44,-14.03,202.95,44.0,45.0,47.0,49.0,51.0,0.0,0.0,0.0,0.0,0.0
2000-01-31,41.0,35981.3,8.37,167.37,-1.87,-8.84,312.59,42.0,44.0,45.0,47.0,49.0,8.31,0.0,0.0,0.0,0.0
2000-02-01,40.0,36288.0,0.29,255.2,-1.85,-10.01,282.97,41.0,42.0,44.0,45.0,47.0,8.37,8.31,0.0,0.0,0.0
2000-02-02,39.0,36288.0,2.34,182.51,-3.49,-9.54,295.81,40.0,41.0,42.0,44.0,45.0,0.29,8.37,8.31,0.0,0.0
2000-02-03,38.0,36425.92,0.0,345.57,-0.22,-12.23,237.97,39.0,40.0,41.0,42.0,44.0,2.34,0.29,8.37,8.31,0.0
2000-02-04,37.0,36633.59,0.68,282.57,2.77,-6.0,389.1,38.0,39.0,40.0,41.0,42.0,0.0,2.34,0.29,8.37,8.31
2000-02-05,36.0,36633.59,1.28,220.84,-0.28,-6.68,370.06,37.0,38.0,39.0,40.0,41.0,0.68,0.0,2.34,0.29,8.37
2000-02-06,36.0,36869.46,0.0,277.62,-0.98,-9.06,304.38,36.0,37.0,38.0,39.0,40.0,1.28,0.68,0.0,2.34,0.29
2000-02-07,35.0,36979.18,0.0,327.08,1.97,-8.0,336.5,36.0,36.0,37.0,38.0,39.0,0.0,1.28,0.68,0.0,2.34
2000-02-08,42.0,36979.18,0.0,375.12,5.15,-7.55,347.3,35.0,36.0,36.0,37.0,38.0,0.0,0.0,1.28,0.68,0.0
2000-02-09,52.0,37324.8,0.0,384.24,5.46,-7.81,338.43,42.0,35.0,36.0,36.0,37.0,0.0,0.0,0.0,1.28,0.68
2000-02-10,60.0,37324.8,0.0,408.5,10.15,-5.64,405.59,52.0,42.0,35.0,36.0,36.0,0.0,0.0,0.0,0.0,1.28
2000-02-11,75.0,37324.8,0.0,370.24,11.0,-1.58,546.37,60.0,52.0,42.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0
2000-02-12,114.0,37670.4,1.82,374.45,8.8,-4.35,440.43,75.0,60.0,52.0,42.0,35.0,0.0,0.0,0.0,0.0,0.0
2000-02-13,104.0,37670.4,2.1,177.51,0.65,-4.08,440.0,114.0,75.0,60.0,52.0,42.0,1.82,0.0,0.0,0.0,0.0
2000-02-14,275.0,37980.09,12.76,204.9,6.3,-0.99,568.26,104.0,114.0,75.0,60.0,52.0,2.1,1.82,0.0,0.0,0.0
2000-02-15,358.0,38016.0,2.32,348.32,7.97,-4.73,431.78,275.0,104.0,114.0,75.0,60.0,12.76,2.1,1.82,0.0,0.0
2000-02-16,266.0,38016.0,0.16,416.19,8.13,-5.35,413.4,358.0,275.0,104.0,114.0,75.0,2.32,12.76,2.1,1.82,0.0
2000-02-17,223.0,38361.59,0.0,451.42,11.32,-6.24,384.53,266.0,358.0,275.0,104.0,114.0,0.16,2.32,12.76,2.1,1.82
2000-02-18,253.0,38361.59,14.36,264.12,3.77,-5.75,401.27,223.0,266.0,358.0,275.0,104.0,0.0,0.16,2.32,12.76,2.1
2000-02-19,1310.0,38671.29,28.5,252.29,8.12,-0.97,570.45,253.0,223.0,266.0,358.0,275.0,14.36,0.0,0.16,2.32,12.76
2000-02-20,809.0,38707.19,0.02,384.44,6.41,-4.46,440.52,1310.0,253.0,223.0,266.0,358.0,28.5,14.36,0.0,0.16,2.32
2000-02-21,521.0,38707.19,0.0,329.97,2.44,-6.16,384.92,809.0,1310.0,253.0,223.0,266.0,0.02,28.5,14.36,0.0,0.16
2000-02-22,351.0,39052.79,0.0,418.76,6.58,-6.01,390.72,521.0,809.0,1310.0,253.0,223.0,0.0,0.02,28.5,14.36,0.0
2000-02-23,279.0,39052.79,0.0,419.88,11.15,-1.74,541.82,351.0,521.0,809.0,1310.0,253.0,0.0,0.0,0.02,28.5,14.36
2000-02-24,237.0,39398.39,0.0,415.19,14.83,1.86,704.2,279.0,351.0,521.0,809.0,1310.0,0.0,0.0,0.0,0.02,28.5
2000-02-25,213.0,39398.39,0.0,447.13,19.36,3.08,766.13,237.0,279.0,351.0,521.0,809.0,0.0,0.0,0.0,0.0,0.02
2000-02-26,191.0,39437.29,0.0,445.49,19.62,3.26,777.33,213.0,237.0,279.0,351.0,521.0,0.0,0.0,0.0,0.0,0.0
2000-02-27,174.0,39743.98,0.0,397.66,16.95,4.46,838.42,191.0,213.0,237.0,279.0,351.0,0.0,0.0,0.0,0.0,0.0
2000-02-28,196.0,39743.98,9.95,305.61,13.48,0.79,645.69,174.0,191.0,213.0,237.0,279.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,175.0,40089.59,0.0,446.79,10.28,-4.52,440.0,196.0,174.0,191.0,213.0,237.0,9.95,0.0,0.0,0.0,0.0
2000-03-01,164.0,40089.59,0.0,469.34,15.32,-2.29,516.6,175.0,196.0,174.0,191.0,213.0,0.0,9.95,0.0,0.0,0.0
2000-03-02,154.0,40435.22,0.0,430.61,13.97,-0.28,600.39,164.0,175.0,196.0,174.0,191.0,0.0,0.0,9.95,0.0,0.0
2000-03-03,140.0,40435.22,0.0,398.61,6.1,-5.9,394.39,154.0,164.0,175.0,196.0,174.0,0.0,0.0,0.0,9.95,0.0
2000-03-04,129.0,40474.12,0.0,481.75,10.25,-7.85,338.28,140.0,154.0,164.0,175.0,196.0,0.0,0.0,0.0,0.0,9.95
2000-03-05,119.0,40780.82,0.0,470.24,12.62,-4.61,435.46,129.0,140.0,154.0,164.0,175.0,0.0,0.0,0.0,0.0,0.0
