Date,Discharge,Dayl,Prcp,Srad,Tmax,Tmin,Vp,one_Discharge,two_Discharge,three_Discharge,four_Discharge,five_Discharge,one_Prcp,two_Prcp,three_Prcp,four_Prcp,five_Prcp
2000-01-06,1330.0,32832.65,0.0,163.48,-0.92,-7.83,335.37,1580.0,912.0,480.0,448.0,450.0,4.92,12.7,2.34,1.26,0.0
2000-01-07,1240.0,32929.88,0.0,188.29,2.8,-5.49,401.18,1330.0,1580.0,912.0,480.0,448.0,0.0,4.92,12.7,2.34,1.26
2000-01-08,1110.0,33066.65,0.62,194.41,2.09,-6.39,376.39,1240.0,1330.0,1580.0,912.0,480.0,0.0,0.0,4.92,12.7,2.34
2000-01-09,992.0,33171.46,0.0,191.34,3.19,-5.1,432.14,1110.0,1240.0,1330.0,1580.0,912.0,0.62,0.0,0.0,4.92,12.7
2000-01-10,999.0,33177.6,2.48,151.54,6.94,-1.2,562.81,992.0,1110.0,1240.0,1330.0,1580.0,0.0,0.62,0.0,0.0,4.92
2000-01-11,1320.0,33177.6,8.31,99.69,5.93,0.45,627.9,999.0,992.0,1110.0,1240.0,1330.0,2.48,0.0,0.62,0.0,0.0
2000-01-12,1150.0,33275.57,2.03,145.05,3.75,-2.63,505.14,1320.0,999.0,992.0,1110.0,1240.0,8.31,2.48,0.0,0.62,0.0
2000-01-13,1080.0,33456.77,3.86,134.18,2.24,-5.17,418.57,1150.0,1320.0,999.0,992.0,1110.0,2.03,8.31,2.48,0.0,0.62
2000-01-14,951.0,33523.25,1.97,259.07,-3.29,-15.45,185.13,1080.0,1150.0,1320.0,999.0,992.0,3.86,2.03,8.31,2.48,0.0
2000-01-15,800.0,33523.25,0.0,212.51,-6.29,-15.08,192.57,951.0,1080.0,1150.0,1320.0,999.0,1.97,3.86,2.03,8.31,2.48
2000-01-16,800.0,33621.14,0.0,290.66,1.54,-14.06,203.76,800.0,951.0,1080.0,1150.0,1320.0,0.0,1.97,3.86,2.03,8.31
2000-01-17,700.0,33802.34,0.0,315.6,3.89,-18.13,147.56,800.0,800.0,951.0,1080.0,1150.0,0.0,0.0,1.97,3.86,2.03
2000-01-18,540.0,33868.81,0.0,225.21,-10.13,-19.3,132.71,700.0,800.0,800.0,951.0,1080.0,0.0,0.0,0.0,1.97,3.86
2000-01-19,660.0,33868.81,0.07,258.09,-6.43,-17.66,155.5,540.0,700.0,800.0,800.0,951.0,0.0,0.0,0.0,0.0,1.97
2000-01-20,720.0,34058.78,3.26,128.94,-3.68,-10.24,280.74,660.0,540.0,700.0,800.0,800.0,0.07,0.0,0.0,0.0,0.0
2000-01-21,560.0,34214.39,3.0,214.8,-5.49,-18.72,140.5,720.0,660.0,540.0,700.0,800.0,3.26,0.07,0.0,0.0,0.0
2000-01-22,450.0,34214.39,1.49,235.69,-11.05,-20.42,122.01,560.0,720.0,660.0,540.0,700.0,3.0,3.26,0.07,0.0,0.0
2000-01-23,450.0,34312.34,0.63,281.08,-7.1,-19.25,131.55,450.0,560.0,720.0,660.0,540.0,1.49,3.0,3.26,0.07,0.0
2000-01-24,540.0,34553.9,0.26,226.88,-3.56,-12.2,242.03,450.0,450.0,560.0,720.0,660.0,0.63,1.49,3.0,3.26,0.07
2000-01-25,480.0,34560.02,0.0,278.32,-3.44,-15.01,191.59,540.0,450.0,450.0,560.0,720.0,0.26,0.63,1.49,3.0,3.26
2000-01-26,450.0,34657.89,1.02,164.37,-7.02,-12.75,230.87,480.0,540.0,450.0,450.0,560.0,0.0,0.26,0.63,1.49,3.0
