Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,7115.599999999999,2487419.3100000005,0.0,19137.129999999997,0.0,624.4600000000002,-384.8699999999999,31590.78
2000-01-02,6878.000000000001,2490909.6400000006,39.93,19278.019999999993,0.0,887.7299999999999,-175.74000000000012,39535.03000000001
2000-01-03,7325.5,2495106.6800000006,61.04000000000001,16119.619999999999,0.0,1182.2800000000004,347.74,65487.44
2000-01-04,11197.099999999999,2498913.910000001,377.06000000000006,12154.18,0.0,1211.0200000000004,549.2599999999999,78117.51999999996
2000-01-05,13468.3,2501359.9800000004,544.6,16555.049999999996,0.0,1085.5599999999997,-268.47,36066.31
2000-01-06,10532.6,2504454.1500000013,1.96,16068.37,0.0,123.39999999999999,-620.0799999999999,24771.51
2000-01-07,9728.300000000001,2509096.2400000007,0.0,17657.040000000005,0.0,378.65,-473.09000000000003,29185.610000000004
2000-01-08,9061.3,2514683.85,8.479999999999999,18597.650000000005,0.0,405.33000000000004,-510.6600000000002,27711.52999999999
2000-01-09,8668.2,2520673.0600000005,20.45,16288.62,0.0,385.76000000000016,-355.70000000000005,32882.48000000001
2000-01-10,10844.800000000001,2525596.9899999998,489.87000000000006,10885.29,0.0,590.2300000000001,5.550000000000001,46846.25
2000-01-11,18372.300000000003,2529238.1300000004,762.0200000000001,10495.449999999997,0.0,697.1899999999998,98.54,50749.969999999994
2000-01-12,14389.800000000003,2533959.32,74.04000000000003,15330.690000000002,0.0,597.2600000000001,-141.19999999999996,40106.21000000001
2000-01-13,12518.2,2540915.4099999997,199.62999999999997,15769.049999999997,0.0,589.4299999999998,-272.98999999999984,35352.939999999995
2000-01-14,10775.0,2547856.1899999985,157.69,19179.399999999998,0.0,265.17,-948.5099999999995,18532.460000000006
2000-01-15,9632.1,2553321.559999998,0.0,16336.040000000003,0.0,-331.8399999999999,-1023.6999999999999,16843.129999999997
2000-01-16,9140.999999999998,2558524.199999999,0.0,21098.239999999994,0.0,282.98999999999995,-802.4200000000001,21672.45
2000-01-17,8484.900000000001,2565429.249999999,18.67,23278.149999999998,0.0,467.84000000000003,-1092.7800000000004,16364.020000000002
2000-01-18,7861.7,2573799.6500000013,28.439999999999994,14555.779999999993,0.0,-604.5800000000002,-1181.18,15194.630000000001
2000-01-19,7766.299999999999,2579865.100000002,16.55,16516.399999999998,0.0,-358.65,-1053.7099999999998,17010.59
2000-01-20,7995.0999999999985,2585843.510000002,411.39000000000004,12121.449999999995,0.0,-107.30999999999995,-706.0100000000003,23673.920000000002
2000-01-21,7340.3,2594894.730000002,219.6400000000001,17229.969999999994,0.0,-241.29,-1088.5900000000001,15510.920000000002
2000-01-22,6564.0,2601665.0800000015,22.26,16318.649999999998,0.0,-715.3700000000001,-1335.0600000000004,12001.390000000001
2000-01-23,6234.6,2609676.1099999994,54.26,17247.23,0.0,-484.23999999999995,-1157.2,14934.330000000002
2000-01-24,6321.4,2617889.4499999983,13.79,15667.639999999998,0.0,-147.12,-736.61,22822.729999999992
2000-01-25,6095.200000000001,2625656.3199999984,428.21999999999997,17329.989999999994,0.0,14.14000000000001,-737.6100000000001,22625.909999999993
2000-01-26,6024.300000000001,2633633.2999999993,566.3299999999997,11439.779999999999,0.0,-331.49999999999994,-793.6100000000001,20767.12
2000-01-27,5574.54,2642971.7600000007,40.349999999999994,19592.21,0.0,-369.8,-1119.4400000000003,14973.179999999995
2000-01-28,5115.68,2651010.690000001,1.86,18543.58,0.0,-568.55,-1238.6299999999997,13129.670000000002
2000-01-29,4954.12,2659577.2699999996,0.0,23975.790000000005,0.0,-254.4499999999999,-1254.6000000000004,12778.899999999998
2000-01-30,4996.26,2669156.0699999994,425.60999999999996,22026.459999999995,0.0,7.8699999999999966,-1138.23,14768.49
2000-01-31,5351.999999999999,2677268.8199999994,1060.0900000000001,13943.790000000003,0.0,-21.040000000000003,-695.7900000000001,23528.86999999999
2000-02-01,5482.659999999999,2686643.1999999997,10.899999999999999,16407.4,0.0,-85.83,-629.79,24289.47999999999
2000-02-02,5250.82,2696012.1299999994,34.509999999999984,18867.440000000002,0.0,-108.54999999999994,-731.31,22297.56000000001
2000-02-03,5078.96,2705997.3699999996,4.630000000000001,22118.170000000002,0.0,-124.13000000000002,-882.7700000000002,19075.8
2000-02-04,5068.19,2715426.6999999993,94.06000000000002,18957.920000000006,0.0,27.339999999999964,-600.0599999999997,25606.549999999996
2000-02-05,5078.44,2724686.9700000007,62.09,19170.090000000004,0.0,66.46999999999998,-560.4399999999998,27030.95
