Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,70.0,32832.0,0.0,240.95,0.0,5.87,-6.5,360.0
2000-01-02,68.0,32832.0,0.0,248.83,0.0,9.38,-3.98,441.98
2000-01-03,70.0,32832.0,0.0,216.4,0.0,13.22,2.55,724.22
2000-01-04,81.0,32832.0,0.0,173.55,0.0,15.31,7.26,1021.16
2000-01-05,89.0,32832.0,6.96,207.59,0.0,15.63,-3.37,477.01
2000-01-06,77.0,32874.84,0.0,239.69,0.0,1.28,-10.4,280.0
2000-01-07,68.0,33177.43,0.0,252.33,0.0,4.72,-8.21,323.73
2000-01-08,65.0,33177.61,0.0,241.46,0.0,5.31,-6.52,363.19
2000-01-09,62.0,33177.61,0.0,237.71,0.0,5.96,-5.37,417.28
2000-01-10,74.0,33177.61,7.77,158.53,0.0,9.6,0.06,604.54
2000-01-11,191.0,33177.61,20.09,138.33,0.0,8.22,0.35,627.6
2000-01-12,136.0,33523.02,0.0,191.13,0.0,7.65,-0.55,590.33
2000-01-13,104.0,33523.2,0.71,210.43,0.0,4.54,-5.0,423.32
2000-01-14,84.0,33523.2,4.69,185.52,0.0,-3.38,-14.43,201.87
2000-01-15,88.0,33523.2,0.0,200.7,0.0,-6.69,-14.71,196.76
2000-01-16,73.0,33868.63,0.0,265.12,0.0,0.07,-12.36,236.4
2000-01-17,74.0,33868.8,0.0,312.47,0.0,3.7,-17.84,151.15
2000-01-18,77.0,33868.8,0.0,225.36,0.0,-10.22,-19.25,132.95
2000-01-19,79.0,33868.8,0.0,251.88,0.0,-6.79,-17.41,159.8
2000-01-20,78.0,34214.4,3.26,165.61,0.0,-3.96,-11.96,246.9
2000-01-21,75.0,34214.4,4.23,177.61,0.0,-5.77,-15.09,188.3
2000-01-22,71.0,34214.4,0.0,198.96,0.0,-10.49,-17.77,155.05
2000-01-23,67.0,34559.82,0.0,220.67,0.0,-7.71,-15.97,165.54
2000-01-24,64.0,34560.0,0.0,218.08,0.0,-2.28,-10.41,277.56
2000-01-25,63.0,34560.0,17.62,176.89,0.0,1.16,-7.65,343.17
2000-01-26,85.0,34905.42,23.86,126.43,0.0,-3.03,-8.66,315.28
2000-01-27,78.0,34905.6,0.0,279.4,0.0,-4.23,-14.84,192.49
2000-01-28,74.0,34905.6,0.0,226.67,0.0,-9.27,-16.98,162.29
2000-01-29,75.0,35251.2,0.0,297.29,0.0,-4.64,-16.04,168.31
2000-01-30,72.0,35251.2,0.0,358.75,0.0,1.51,-17.41,160.0
2000-01-31,94.0,35251.2,19.58,246.65,0.0,-0.19,-13.33,212.59
2000-02-01,78.0,35596.81,0.0,285.44,0.0,-0.19,-10.17,280.0
2000-02-02,70.0,35596.81,0.0,279.12,0.0,-0.7,-10.2,280.0
