Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,265.0,33606.68,0.0,295.47,0.0,10.07,-5.84,396.55
2000-01-02,253.0,33685.84,0.0,280.57,0.0,11.08,-3.08,487.53
2000-01-03,257.0,33764.7,0.0,250.74,0.0,15.47,3.25,773.17
2000-01-04,269.0,33845.8,1.44,201.87,0.0,15.97,6.78,987.86
2000-01-05,273.0,33868.78,5.37,222.24,0.0,11.37,-4.58,436.92
2000-01-06,279.0,33868.78,0.01,246.56,0.0,-0.18,-10.93,267.7
2000-01-07,260.0,33868.78,0.0,279.0,0.0,4.77,-8.41,323.4
2000-01-08,254.0,33952.3,0.0,273.63,0.0,3.71,-8.94,310.17
2000-01-09,249.0,34071.04,0.0,262.91,0.0,4.58,-7.09,357.83
2000-01-10,271.0,34169.88,4.79,165.46,0.0,7.24,-1.78,537.64
2000-01-11,369.0,34214.43,5.29,178.79,0.0,10.43,0.11,617.41
2000-01-12,423.0,34214.43,3.77,195.92,0.0,6.97,-3.83,460.53
2000-01-13,428.0,34259.55,3.93,225.08,0.0,9.86,-3.77,463.46
2000-01-14,456.0,34416.68,1.97,298.8,0.0,9.7,-12.31,239.52
2000-01-15,389.0,34537.02,0.0,269.85,0.0,-3.62,-14.84,194.84
2000-01-16,431.0,34560.0,0.0,334.31,0.0,7.82,-10.6,272.1
2000-01-17,419.0,34560.0,0.0,341.52,0.0,6.89,-12.37,238.25
2000-01-18,377.0,34722.63,0.77,185.81,0.0,-4.82,-12.05,244.82
2000-01-19,384.0,34882.6,1.68,157.52,0.0,-2.22,-8.63,317.01
2000-01-20,389.0,34905.57,7.76,108.77,0.0,-1.56,-6.67,372.27
2000-01-21,343.0,34916.9,5.73,214.09,0.0,-4.14,-14.46,200.09
2000-01-22,320.0,35107.84,1.21,197.72,0.0,-11.56,-18.72,139.62
2000-01-23,290.0,35251.19,1.23,283.3,0.0,-4.5,-15.44,186.39
2000-01-24,270.0,35251.19,0.0,208.43,0.0,-1.0,-8.32,322.71
2000-01-25,240.0,35373.33,0.0,256.63,0.0,-1.33,-10.64,269.9
2000-01-26,220.0,35573.82,0.06,205.48,0.0,-7.39,-14.4,200.8
2000-01-27,210.0,35596.79,0.36,241.52,0.0,-7.37,-15.92,179.65
2000-01-28,200.0,35641.91,0.0,280.19,0.0,-8.52,-18.56,145.0
2000-01-29,190.0,35897.88,0.0,365.78,0.0,-3.44,-19.69,130.46
2000-01-30,180.0,35942.42,6.52,274.46,0.0,0.73,-15.43,182.82
2000-01-31,170.0,35953.75,7.87,163.27,0.0,-1.72,-8.59,320.45
2000-02-01,165.0,36243.48,1.6,206.55,0.0,-2.39,-9.6,294.21
2000-02-02,160.0,36288.03,2.54,163.98,0.0,-3.83,-9.35,300.48
2000-02-03,155.0,36333.16,0.0,345.87,0.0,-0.69,-12.78,229.73
2000-02-04,150.0,36610.64,1.23,279.39,0.0,2.6,-6.68,369.23
2000-02-05,150.0,36633.6,1.71,205.1,0.0,-0.71,-7.04,361.71
2000-02-06,145.0,36717.1,0.0,256.05,0.0,-1.21,-8.57,319.15
2000-02-07,140.0,36979.22,0.0,319.04,0.0,2.01,-7.61,345.39
2000-02-08,160.0,36979.22,0.0,386.0,0.0,4.67,-8.79,315.95
