Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,352.0,33865.98,0.0,285.5,0.0,14.33,-2.84,491.06
2000-01-02,339.0,33868.8,0.0,267.16,0.0,14.32,-0.58,586.81
2000-01-03,333.0,33868.8,0.0,208.35,0.0,18.78,7.79,1066.65
2000-01-04,336.0,33868.8,0.0,177.05,0.0,20.02,10.75,1300.1
2000-01-05,379.0,33868.8,6.39,206.34,0.0,18.56,-0.22,604.24
2000-01-06,323.0,33894.43,0.0,231.69,0.0,6.1,-6.35,379.19
2000-01-07,306.0,34081.6,0.0,246.86,0.0,8.61,-5.23,421.88
2000-01-08,297.0,34211.58,0.0,273.07,0.0,10.52,-6.22,382.11
2000-01-09,296.0,34214.4,0.0,224.84,0.0,7.47,-4.08,446.74
2000-01-10,375.0,34214.4,6.09,108.63,0.0,6.96,0.05,606.66
2000-01-11,589.0,34214.4,9.94,154.34,0.0,13.3,2.18,720.4
2000-01-12,389.0,34283.8,0.0,248.74,0.0,12.65,-1.73,544.47
2000-01-13,347.0,34540.0,0.0,268.56,0.0,14.37,-2.74,495.67
2000-01-14,317.0,34559.99,0.0,301.21,0.0,17.28,-7.54,342.64
2000-01-15,295.0,34559.99,0.0,204.37,0.0,0.98,-8.95,311.44
2000-01-16,285.0,34564.34,0.0,238.37,0.0,5.94,-6.5,371.91
2000-01-17,295.0,34772.8,0.0,305.97,0.0,16.17,-7.79,341.21
2000-01-18,279.0,34905.6,0.0,150.71,0.0,-1.4,-8.15,336.79
2000-01-19,265.0,34905.6,0.0,141.9,0.0,-2.65,-8.93,313.88
2000-01-20,293.0,34909.94,5.71,188.05,0.0,4.26,-6.91,361.12
2000-01-21,296.0,35182.51,0.0,291.85,0.0,2.64,-10.85,266.29
2000-01-22,204.0,35251.21,0.0,268.63,0.0,-4.76,-16.44,163.82
2000-01-23,195.0,35251.21,0.0,250.74,0.0,-3.63,-13.99,209.59
2000-01-24,210.0,35320.61,0.0,216.22,0.0,-0.37,-8.95,315.05
2000-01-25,220.0,35596.82,6.45,219.33,0.0,3.39,-8.16,325.4
2000-01-26,235.0,35596.82,6.11,179.69,0.0,-0.77,-10.25,275.93
2000-01-27,210.0,35596.82,0.0,274.55,0.0,-0.18,-11.33,262.22
2000-01-28,190.0,35922.41,0.0,296.32,0.0,-2.85,-15.22,188.4
2000-01-29,165.0,35942.39,0.0,338.89,0.0,1.45,-14.1,200.0
2000-01-30,185.0,35942.39,5.07,230.83,0.0,2.71,-10.31,279.94
2000-01-31,215.0,36219.29,15.11,147.09,0.0,-0.3,-7.14,354.91
2000-02-01,195.0,36287.98,0.0,306.9,0.0,2.91,-9.11,306.68
2000-02-02,180.0,36287.98,0.0,287.96,0.0,3.24,-7.48,347.4
2000-02-03,170.0,36613.62,0.0,305.73,0.0,4.09,-7.45,350.58
2000-02-04,205.0,36633.61,0.0,294.15,0.0,5.17,-5.48,405.54
2000-02-05,225.0,36633.61,0.0,306.26,0.0,7.1,-4.06,446.87
2000-02-06,240.0,36976.38,0.0,312.26,0.0,5.48,-5.71,410.86
2000-02-07,250.0,36979.2,0.0,308.49,0.0,5.9,-4.83,426.55
2000-02-08,260.0,36983.55,0.0,356.1,0.0,9.82,-3.88,460.34
2000-02-09,290.0,37324.79,0.0,335.69,0.0,4.62,-7.46,357.67
2000-02-10,320.0,37324.79,0.0,395.53,0.0,13.13,-4.41,441.63
2000-02-11,412.0,37462.22,0.0,367.14,0.0,16.29,1.14,660.08
2000-02-12,470.0,37670.39,0.0,412.71,0.0,16.99,-2.8,500.49
2000-02-13,427.0,37670.39,4.59,106.25,0.0,-0.62,-4.63,432.39
2000-02-14,451.0,38016.01,3.37,190.39,0.0,4.97,-2.79,497.55
2000-02-15,630.0,38016.01,0.0,405.59,0.0,15.74,-0.94,573.65
2000-02-16,487.0,38041.64,0.0,365.35,0.0,10.51,-1.9,539.75
2000-02-17,431.0,38361.61,0.0,438.87,0.0,19.67,-2.14,526.92
2000-02-18,445.0,38361.61,4.6,213.79,0.0,6.72,-2.08,528.95
2000-02-19,679.0,38707.19,13.54,270.85,0.0,11.2,-1.2,562.42
2000-02-20,611.0,38707.19,0.0,420.61,0.0,15.07,-2.01,531.9
2000-02-21,502.0,38776.59,0.0,390.33,0.0,9.61,-4.3,434.94
2000-02-22,451.0,39052.8,0.0,419.03,0.0,11.68,-4.32,441.85
2000-02-23,424.0,39052.8,0.0,418.32,0.0,14.08,-2.4,519.42
