Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,97.0,33868.8,0.0,283.17,0.0,13.85,-1.87,530.06
2000-01-02,94.0,33868.8,0.0,257.89,0.0,14.48,1.4,672.29
2000-01-03,92.0,33868.8,0.0,212.4,0.0,17.92,7.5,1040.0
2000-01-04,106.0,34056.22,0.0,192.46,0.0,19.24,9.36,1188.68
2000-01-05,105.0,34214.39,8.19,216.61,0.0,17.47,-1.94,536.58
2000-01-06,91.0,34214.39,0.0,231.31,0.0,5.69,-6.11,389.52
2000-01-07,88.0,34214.39,0.0,254.59,0.0,8.4,-4.92,438.41
2000-01-08,84.0,34214.39,0.0,273.74,0.0,10.04,-5.44,404.93
2000-01-09,90.0,34214.39,0.0,233.3,0.0,7.6,-3.93,447.48
2000-01-10,132.0,34240.04,8.9,118.77,0.0,6.73,-0.52,594.02
2000-01-11,128.0,34560.0,10.99,173.18,0.0,13.42,1.26,673.82
2000-01-12,112.0,34560.0,0.0,250.62,0.0,12.78,-0.91,567.3
2000-01-13,109.0,34560.0,0.0,255.22,0.0,13.25,-1.09,564.68
2000-01-14,94.0,34560.0,0.0,312.37,0.0,16.6,-8.39,326.65
2000-01-15,89.0,34747.42,0.0,222.5,0.0,2.16,-8.32,328.1
2000-01-16,95.0,34905.6,0.0,260.9,0.0,7.65,-5.98,397.7
2000-01-17,86.0,34905.6,0.0,312.92,0.0,14.22,-7.77,338.73
2000-01-18,83.0,34905.6,0.0,188.87,0.0,0.17,-8.19,329.52
2000-01-19,82.0,34931.25,0.0,126.44,0.0,-2.19,-7.58,344.1
2000-01-20,80.0,35251.2,8.54,171.34,0.0,4.2,-5.99,394.72
2000-01-21,77.0,35251.2,0.0,290.17,0.0,1.72,-12.23,244.27
2000-01-22,72.0,35251.2,0.0,220.97,0.0,-4.73,-14.19,199.77
2000-01-23,64.0,35438.62,0.0,205.77,0.0,-3.26,-11.58,249.65
2000-01-24,66.0,35596.8,0.0,223.29,0.0,0.06,-9.15,307.86
2000-01-25,69.0,35596.8,7.08,195.05,0.0,2.42,-8.24,320.98
2000-01-26,72.0,35596.8,0.0,270.16,0.0,-0.47,-11.06,262.29
2000-01-27,65.0,35942.39,0.0,300.3,0.0,-0.13,-12.35,243.26
2000-01-28,60.0,35942.39,0.0,300.44,0.0,-1.56,-13.73,201.27
2000-01-29,64.0,35942.39,0.0,350.92,0.0,2.43,-13.67,200.0
2000-01-30,69.0,36287.99,7.67,231.37,0.0,2.4,-10.39,280.0
2000-01-31,72.0,36287.99,13.95,140.45,0.0,0.07,-6.25,384.91
2000-02-01,68.0,36287.99,0.0,254.35,0.0,1.9,-7.42,360.0
2000-02-02,62.0,36584.34,0.0,273.42,0.0,2.35,-7.24,357.3
2000-02-03,63.0,36633.59,0.0,308.98,0.0,4.67,-6.65,372.53
2000-02-04,68.0,36633.59,0.0,288.95,0.0,6.3,-4.01,440.0
2000-02-05,69.0,36979.21,0.0,280.75,0.0,6.22,-3.31,473.72
2000-02-06,66.0,36979.21,0.0,299.86,0.0,4.87,-5.39,416.23
2000-02-07,69.0,36979.21,0.0,315.62,0.0,6.25,-4.46,438.37
2000-02-08,75.0,37324.8,0.0,351.55,0.0,9.59,-3.46,470.8
2000-02-09,75.0,37324.8,0.0,359.57,0.0,7.09,-6.09,389.18
2000-02-10,86.0,37324.8,0.0,399.34,0.0,13.37,-3.86,451.54
2000-02-11,108.0,37670.4,0.0,370.28,0.0,16.14,1.4,672.1
2000-02-12,121.0,37670.4,1.02,379.91,0.0,16.54,-2.55,505.48
2000-02-13,110.0,37857.82,5.19,110.38,0.0,-0.22,-4.27,446.63
2000-02-14,146.0,38015.99,5.44,198.94,0.0,5.38,-2.88,496.35
2000-02-15,150.0,38015.99,0.0,383.21,0.0,14.05,-1.3,560.9
2000-02-16,142.0,38361.6,0.0,378.54,0.0,12.79,-1.37,558.81
2000-02-17,134.0,38361.6,0.0,421.86,0.0,18.57,-2.24,521.41
2000-02-18,144.0,38361.6,10.67,243.93,0.0,7.56,-3.31,481.06
2000-02-19,200.0,38707.19,14.69,250.75,0.0,10.05,-1.36,557.25
2000-02-20,180.0,38707.19,0.0,397.44,0.0,13.74,-1.95,530.63
2000-02-21,167.0,39052.8,0.0,368.74,0.0,9.14,-4.13,440.0
2000-02-22,159.0,39052.8,0.0,399.42,0.0,11.97,-3.57,471.06
2000-02-23,148.0,39052.8,0.0,387.75,0.0,13.67,-1.38,560.22
2000-02-24,137.0,39398.4,0.0,376.66,0.0,17.92,3.31,783.71
2000-02-25,129.0,39398.4,0.0,391.3,0.0,22.15,5.75,920.08
2000-02-26,121.0,39744.0,0.0,406.65,0.0,24.54,5.73,912.71
2000-02-27,118.0,39744.0,0.0,336.63,0.0,18.08,5.62,908.72
2000-02-28,127.0,40040.34,6.14,284.17,0.0,19.67,4.13,825.04
2000-02-29,112.0,40089.61,0.0,409.89,0.0,15.53,-1.87,530.64
2000-03-01,107.0,40089.61,0.0,418.52,0.0,17.74,-0.96,564.62
2000-03-02,102.0,40435.21,0.0,395.53,0.0,17.41,0.99,655.75
2000-03-03,95.0,40435.21,0.0,383.35,0.0,12.72,-2.7,503.82
2000-03-04,93.0,40780.8,0.0,401.74,0.0,14.2,-2.49,513.37
2000-03-05,89.0,40780.8,0.0,390.87,0.0,16.77,0.74,639.45
2000-03-06,85.0,40806.46,0.0,406.17,0.0,19.24,1.4,672.26
2000-03-07,81.0,41126.39,0.0,422.27,0.0,21.2,1.62,689.22
2000-03-08,81.0,41126.39,0.0,390.41,0.0,23.28,6.12,929.59
2000-03-09,80.0,41472.01,0.0,383.12,0.0,27.65,10.17,1253.83
2000-03-10,77.0,41472.01,0.0,370.94,0.0,24.55,8.46,1117.07
2000-03-11,90.0,41817.6,0.34,353.32,0.0,21.91,6.94,994.95
2000-03-12,144.0,41817.6,16.47,226.39,0.0,14.15,3.17,774.64
2000-03-13,107.0,42163.18,0.0,356.81,0.0,8.38,-4.68,428.07
2000-03-14,101.0,42163.18,0.0,371.12,0.0,10.82,-3.24,480.59
2000-03-15,96.0,42163.18,0.0,393.85,0.0,16.01,0.02,607.34
2000-03-16,100.0,42508.8,0.0,385.56,0.0,19.89,4.26,820.82
2000-03-17,148.0,42508.8,12.66,233.36,0.0,17.9,6.41,970.97
2000-03-18,120.0,42854.39,0.0,422.26,0.0,11.24,-5.27,413.53
2000-03-19,115.0,42854.39,0.0,327.6,0.0,7.43,-3.76,462.1
2000-03-20,129.0,43200.01,0.0,184.2,0.0,5.41,-0.37,595.96
2000-03-21,521.0,43200.01,25.42,104.68,0.0,5.69,1.5,683.65
2000-03-22,447.0,43200.01,0.49,239.14,0.0,9.01,1.6,687.72
2000-03-23,340.0,43545.61,0.0,280.36,0.0,12.5,3.69,795.69
2000-03-24,276.0,43545.61,0.0,411.56,0.0,18.08,3.17,773.75
2000-03-25,236.0,43891.2,0.0,432.44,0.0,21.49,4.97,857.45
2000-03-26,204.0,43891.2,1.13,441.0,0.0,24.14,6.71,941.94
2000-03-27,193.0,44236.8,0.0,452.46,0.0,20.01,2.53,709.83
2000-03-28,181.0,44236.8,2.8,303.79,0.0,15.58,2.9,756.81
2000-03-29,159.0,44236.8,2.17,347.41,0.0,13.02,1.45,679.06
2000-03-30,144.0,44582.39,0.0,412.61,0.0,15.43,1.58,686.82
2000-03-31,132.0,44582.39,0.0,449.55,0.0,17.2,1.38,669.33
2000-04-01,122.0,44927.99,0.0,485.25,0.0,17.96,-0.39,578.62
2000-04-02,118.0,44927.99,0.0,458.72,0.0,20.75,3.97,786.7
2000-04-03,119.0,45273.59,3.56,118.8,0.0,16.17,11.64,1370.94
2000-04-04,140.0,45273.59,9.76,259.97,0.0,21.63,10.87,1309.82
2000-04-05,118.0,45593.54,2.19,442.43,0.0,15.56,0.06,612.45
2000-04-06,111.0,45619.2,0.0,454.16,0.0,15.1,0.58,643.29
2000-04-07,106.0,45619.2,0.0,507.04,0.0,26.5,6.38,888.53
2000-04-08,129.0,45964.8,0.0,454.43,0.0,25.6,9.71,1151.46
2000-04-09,147.0,45964.8,13.55,395.05,0.0,19.44,-1.05,569.26
2000-04-10,124.0,46310.41,0.0,430.44,0.0,12.85,0.01,607.69
2000-04-11,117.0,46310.41,0.0,470.54,0.0,20.7,4.88,828.84
2000-04-12,112.0,46359.67,2.14,368.35,0.0,19.93,7.63,1048.6
2000-04-13,105.0,46656.02,0.0,475.97,0.0,16.58,1.15,654.28
2000-04-14,103.0,46656.02,0.0,284.03,0.0,9.79,2.35,727.59
2000-04-15,104.0,47001.62,5.95,219.64,0.0,12.16,4.5,844.91
2000-04-16,100.0,47001.62,2.69,254.87,0.0,17.47,9.75,1219.75
